id,district,state,country
,East Khasi Hills,16,1
,Jaintia Hills,16,1
,Kokrajhar,17,1
,Dhubri,17,1
,Goalpara,17,1
,Bongaigaon,17,1
,Barpeta,17,1
,Kamrup,17,1
,Nalbari,17,1
,Darrang,17,1
,Marigaon,17,1
,Nagaon,17,1
,Sonitpur,17,1
,Lakhimpur,17,1
,Dhemaji,17,1
,Tinsukia,17,1
,Dibrugarh,17,1
,Sibsagar,17,1
,Jorhat,17,1
,Golaghat,17,1
,Karbi Anglong,17,1
,North Cachar Hills,17,1
,Cachar,17,1
,Karimganj,17,1
,Hailakandi,17,1
,Darjiling ,18,1
,Jalpaiguri ,18,1
,Koch Bihar ,18,1
,Uttar Dinajpur,18,1
,Dakshin Dinajpur *,18,1
,Maldah ,18,1
,Murshidabad ,18,1
,Birbhum,18,1
,Barddhaman ,18,1
,Nadia ,18,1
,North Twenty Four Parganas,18,1
,Hugli ,18,1
,Bankura ,18,1
,Puruliya,18,1
,Medinipur ,18,1
,Haora ,18,1
,Kolkata,18,1
,South  Twenty Four Parganas,18,1
,Garhwa *,19,1
,Palamu,19,1
,Chatra *,19,1
,Hazaribag,19,1
,Kodarma *,19,1
,Giridih,19,1
,Deoghar,19,1
,Godda,19,1
,Sahibganj,19,1
,Pakaur *,19,1
,Dumka,19,1
,Dhanbad,19,1
,Bokaro *,19,1
,Ranchi,19,1
,Lohardaga,19,1
,Gumla,19,1
,Pashchimi Singhbhum,19,1
,Purbi Singhbhum,19,1
,ORISSA,19,1
,Bargarh  *,19,1
,Jharsuguda  *,19,1
,Sambalpur,19,1
,Debagarh  *,19,1
,Sundargarh,19,1
,Kendujhar,19,1
,Mayurbhanj,19,1
,Baleshwar,19,1
,Bhadrak  *,19,1
,Kendrapara *,19,1
,Jagatsinghapur  *,19,1
,Cuttack,19,1
,Jajapur  *,19,1
,Dhenkanal,19,1
,Anugul  *,19,1
,Nayagarh  *,19,1
,Khordha  *,19,1
,Puri,19,1
,Ganjam,19,1
,Gajapati  *,19,1
,Kandhamal,19,1
,Baudh  *,19,1
,Sonapur  *,19,1
